,PRODUCTOS,Cantidad,31/12/2023,31/1/2024,29/2/2024,31/3/2024,30/4/2024,HC (gr),Proteinas (gr),Grasas (gr)
0,Aceite girasol,1.0,1.6666666666666667,2.066666666666667,2.3,2.4,2.466666666666667,0.0,0.0,1.0
1,Arroz,1.0,1.65,2.3,2.8,3.1,3.55,0.7919444444444445,0.06888888888888889,0.0
2,Azucar,1.0,1.99,2.05,2.05,2.1,2.1,1.0,0.0,0.0
3,Fideos secos,1.0,3.2,3.98,4.3,4.4,4.58,0.7258928571428571,0.12767857142857145,0.015714285714285715
4,Harina trigo,1.0,0.95,1.25,1.35,1.5,1.69,0.6871111111111111,0.10288888888888889,0.02688888888888889
5,Huevo,1.0,3.0555555555555554,3.611111111111111,4.166666666666667,4.722222222222222,5.277777777777778,0.0,0.12,0.118125
6,Pan Frances,1.0,1.65,2.1,2.2,2.3,2.3,0.6,0.09999999999999999,0.0
7,Leche fluida entera,1.0,1.1,1.21,1.62,1.89,1.99,0.046,0.030999999999999996,0.029
8,Yerba,1.0,2.8,3.7,4.6,4.95,5.5,0.0,0.0,0.0
9,Zanahoria,1.0,0.82,0.99,1.1,1.1,1.1,0.08,0.01074074074074074,0.0
10,Tomate,1.0,1.2,1.1,1.2,2.3,2.7,0.04101449275362319,0.009999999999999998,0.0
11,Cebolla,1.0,0.5,0.7,0.99,1.15,1.5,0.022045454545454545,0.007954545454545454,0.0
12,Papa,1.0,0.85,0.89,1.0,0.99,0.9,0.17698689956331878,0.026986899563318775,0.0
13,Acelga,1.0,0.5,0.6888888888888889,1.2222222222222223,2.2111111111111112,2.2111111111111112,0.0,0.0292,0.0
14,Naranja,1.0,0.92,1.25,1.85,1.9,2.2,0.12395348837209302,0.01,0.0
15,Manzana,1.0,1.9,2.1,2.4,2.4,2.7,0.14901639344262294,0.0029508196721311475,0.0
16,Bola de Lomo,1.0,6.2,7.2,8.3,8.5,8.65,0.0,0.21205882352941177,0.014117647058823528
17,Asado,1.0,5.4,6.3,7.5,7.6,7.75,0.0,0.18600000000000003,0.15
18,Paleta ,1.0,5.2,6.2,7.1,7.8,7.9,0.0,0.2,0.1
19,Carne picada,1.0,4.2,4.8,5.2,5.2,5.5,0.0,0.2,0.1
